Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","kg/ha","1008.7","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01341","Apples","2022","2022","kg/ha","8219","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01343","Apricots","2022","2022","kg/ha","2811.3","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01379.01","Areca nuts","2022","2022","kg/ha","1962.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01312","Bananas","2022","2022","kg/ha","35854.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0115","Barley","2022","2022","kg/ha","3025.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01701","Beans, dry","2022","2022","kg/ha","416.9","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01212","Cabbages","2022","2022","kg/ha","23227","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01229","Cantaloupes and other melons","2022","2022","kg/ha","22029.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01372","Cashew nuts, in shell","2022","2022","kg/ha","635.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01520.01","Cassava, fresh","2022","2022","kg/ha","36122.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01447","Castor oil seeds","2022","2022","kg/ha","1948","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01213","Cauliflowers and broccoli","2022","2022","kg/ha","19887.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01344.02","Cherries","2022","2022","kg/ha","3074","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01703","Chick peas, dry","2022","2022","kg/ha","1261","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2022","2022","kg/ha","2764","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2022","2022","kg/ha","8526.1","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01640","Cocoa beans","2022","2022","kg/ha","264.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01460","Coconuts, in shell","2022","2022","kg/ha","6182.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01610","Coffee, green","2022","2022","kg/ha","772.8","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01232","Cucumbers and gherkins","2022","2022","kg/ha","6370.2","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01233","Eggplants (aubergines)","2022","2022","kg/ha","18911.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01315","Figs","2022","2022","kg/ha","2530.3","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01657","Ginger, raw","2022","2022","kg/ha","11497.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01330","Grapes","2022","2022","kg/ha","20865","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01252","Green garlic","2022","2022","kg/ha","8162.8","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0142","Groundnuts, excluding shelled","2022","2022","kg/ha","1776.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01922.01","Jute, raw or retted","2022","2022","kg/ha","2792.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01922.02","Kenaf, and other textile bast fibres, raw or retted","2022","2022","kg/ha","1175.6","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01322","Lemons and limes","2022","2022","kg/ha","12063.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01704","Lentils, dry","2022","2022","kg/ha","898.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01214","Lettuce and chicory","2022","2022","kg/ha","6323","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01441","Linseed","2022","2022","kg/ha","642.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","3387.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01316","Mangoes, guavas and mangosteens","2022","2022","kg/ha","9726","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0118","Millet","2022","2022","kg/ha","1396","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01950.01","Natural rubber in primary forms","2022","2022","kg/ha","2240.9","E","Estimated value",""
